original_feature,importance
hemo,0.15375013766827192
sg,0.130408545438488
pcv,0.12907324902567247
sc,0.11307248280026816
htn,0.0910585712353352
rbcc,0.0857719240396225
dm,0.06358941076282393
al,0.058207993666951084
bu,0.036130770667598296
sod,0.03297521362177204
appet,0.01765156213737882
bgr,0.017611861849926243
pc,0.01674875795160712
bp,0.013863972760387009
age,0.010462381177242632
pot,0.00782875528899765
rbc,0.0051814985391452
wbcc,0.004857627706644458
pe,0.004677476158758149
ane,0.0028273034570468147
su,0.0022047628579473346
pcc,0.0011061712221960363
cad,0.0004927937490185849
ba,0.00044677621690033327
