feature,importance
numerical__hemo,0.15375013766827192
numerical__sg,0.130408545438488
numerical__pcv,0.12907324902567247
numerical__sc,0.11307248280026816
numerical__rbcc,0.0857719240396225
numerical__al,0.058207993666951084
categorical__htn_yes,0.04809555187451265
categorical__htn_no,0.042963019360822544
numerical__bu,0.036130770667598296
numerical__sod,0.03297521362177204
categorical__dm_no,0.031954989089289274
categorical__dm_yes,0.03151775027700522
numerical__bgr,0.017611861849926243
numerical__bp,0.013863972760387009
numerical__age,0.010462381177242632
categorical__appet_good,0.010446210544631872
categorical__pc_normal,0.009781055421634117
numerical__pot,0.00782875528899765
categorical__appet_poor,0.007205351592746948
categorical__pc_abnormal,0.006967702529973001
numerical__wbcc,0.004857627706644458
categorical__rbc_abnormal,0.0028865031775546853
categorical__pe_no,0.0026539917426615075
categorical__rbc_normal,0.002294995361590515
numerical__su,0.0022047628579473346
categorical__pe_yes,0.002023484416096641
categorical__ane_no,0.0019935261247791256
categorical__pcc_notpresent,0.000834141602168719
categorical__ane_yes,0.000833777332267689
categorical__cad_yes,0.0004243913720359848
categorical__pcc_present,0.0002720296200273174
categorical__ba_notpresent,0.00025811609259234364
categorical__ba_present,0.0001886601243079896
categorical__dm_,0.0001166713965294343
categorical__cad_no,6.840237698260014e-05
